item,item_count,iterations_count,time_in_nanoseconds
416981,560,9,13370
313215,561,11,1983
357698,562,14,2476
743013,563,12,1945
723290,564,10,1036
730589,565,14,1617
710633,566,9,1067
205042,567,10,1339
261838,568,10,1010
270029,569,10,1262
55164,570,12,2965
47005,571,14,2244
901533,572,11,1113
135580,573,12,2085
812829,574,9,980
219774,575,10,958
737373,576,12,1762
633516,577,12,2815
85986,578,11,1907
640265,579,10,1642
163307,580,12,3031
17903,581,10,846
757579,582,13,1807
802973,583,12,2010
623092,584,12,1396
691266,585,9,1412
502863,586,9,1434
461801,587,11,944
497104,588,11,1919
637603,589,8,978
360722,590,9,961
515515,591,10,1233
627400,592,9,522
826769,593,13,2761
762996,594,15,2753
867878,595,10,1005
939960,596,13,1912
868607,597,12,1401
886979,598,13,2235
439632,599,10,1204
502736,600,11,1783
359540,601,11,1255
315152,602,12,2350
373078,603,10,886
28852,604,12,2485
956994,605,12,1425
688671,606,12,1751
797916,607,10,1001
401859,608,12,2228
351136,609,11,799
278584,610,13,2525
697140,611,9,921
32885,612,10,1203
21990,613,15,1690
838746,614,11,1055
713833,615,11,1704
512990,616,10,1135
623461,617,10,857
683343,618,10,1053
841066,619,12,1368
233679,620,13,2737
60961,621,10,1990
114651,622,12,2536
945422,623,13,1788
365980,624,11,1579
451053,625,12,1432
120654,626,14,1448
941896,627,14,2012
29175,628,11,1789
707873,629,11,2303
747065,630,12,1386
428584,631,12,1877
453307,632,13,1548
303417,633,12,1277
179517,634,10,1502
325771,635,12,1496
588485,636,10,1221
763981,637,11,728
52543,638,11,1309
352737,639,13,2082
803581,640,13,2132
663337,641,12,3617
172727,642,12,1430
395033,643,9,1088
899955,644,15,3124
638472,645,10,1348
605928,646,11,1845
90923,647,11,1647
846947,648,11,1966
414834,649,11,1284
812074,650,9,812
897089,651,11,664
253979,652,13,2108
531183,653,12,2028
982115,654,10,970
775491,655,12,1405
47668,656,10,1159
666342,657,10,855
673684,658,11,987
758078,659,11,723
54203,660,12,1478
436759,661,10,917
589647,662,13,1713
864176,663,11,1169
61748,664,12,1337
