item,item_deleted,item_count,iterations_count,time_in_nanoseconds
896418,true,9618,14,1628
183744,true,9617,12,1335
586900,true,9616,14,5105
195307,true,9615,13,1862
733607,true,9614,13,1823
361903,true,9613,14,1220
100241,true,9612,11,1115
334940,true,9611,10,932
171692,true,9610,15,1241
629453,true,9609,14,1086
423150,true,9608,13,1652
744449,true,9607,15,1312
290929,true,9606,14,1676
967219,true,9605,13,1648
534871,true,9604,15,1513
576838,true,9603,14,1847
901765,true,9602,14,1219
898440,true,9601,14,1621
661289,true,9600,12,2178
222158,true,9599,13,1677
506521,true,9598,13,1476
523593,true,9597,12,1455
788271,true,9596,15,2467
115629,true,9595,14,1241
891079,true,9594,14,1325
253897,true,9593,11,1372
211773,true,9592,14,1096
188338,true,9591,14,1226
737024,true,9590,14,1540
124867,true,9589,13,1745
949216,true,9588,13,1517
499665,true,9587,13,1402
406919,true,9586,12,2196
798788,true,9585,14,1175
660033,true,9584,12,1307
899953,true,9583,13,775
996956,true,9582,14,1682
580377,true,9581,15,2000
488025,true,9580,15,1826
659401,true,9579,14,1261
323953,true,9578,12,1471
915869,true,9577,11,2511
130764,true,9576,11,1924
188416,true,9575,10,1138
982379,true,9574,14,1271
781960,true,9573,15,1578
398072,true,9572,13,1888
90598,true,9571,14,1490
978515,true,9570,10,1394
557409,true,9569,13,1509
64868,true,9568,14,2461
239791,true,9567,14,1345
969890,true,9566,13,1799
448227,true,9565,15,1538
606301,true,9564,16,1496
884087,true,9563,11,1495
394980,true,9562,13,1019
560293,true,9561,15,1355
128305,true,9560,16,1868
305036,true,9559,15,1424
689097,true,9558,13,1625
103909,true,9557,15,1516
638160,true,9556,11,1863
30849,true,9555,14,2166
345753,true,9554,13,1781
516820,true,9553,14,1230
161432,true,9552,16,1762
620364,true,9551,12,1440
230767,true,9550,13,1016
89790,true,9549,14,1532
916488,true,9548,13,1538
934741,true,9547,13,1928
861862,true,9546,13,1387
907613,true,9545,14,1272
447965,true,9544,12,1825
219164,true,9543,13,1572
925018,true,9542,14,1656
74485,true,9541,14,1556
686460,true,9540,14,1477
941501,true,9539,13,1321
325781,true,9538,13,1501
724722,true,9537,11,1112
174996,true,9536,13,1171
861343,true,9535,11,1089
394725,true,9534,10,1147
186957,true,9533,15,1672
420883,true,9532,9,1275
450421,true,9531,12,1511
533459,true,9530,15,1491
190524,true,9529,14,1384
426534,true,9528,13,1291
877933,true,9527,13,2312
729591,true,9526,14,1168
476144,true,9525,14,1932
138467,true,9524,15,1489
347192,true,9523,12,1297
83339,true,9522,12,1117
256262,true,9521,12,1863
508248,true,9520,11,903
791357,true,9519,15,1694
476981,true,9518,14,1260
851228,true,9517,13,1119
410227,true,9516,14,1333
449133,true,9515,13,1525
708639,true,9514,13,1336
21567,true,9513,13,1496
602856,true,9512,15,1188
121969,true,9511,15,1317
685205,true,9510,13,1498
183827,true,9509,13,1116
622823,true,9508,14,1706
750167,true,9507,11,1660
